In inventory?,target_url,target_url_domain,final_url,final_url_domain,final_url_mimetype,final_url_live,target_url_redirects,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,final_url_status_code,,Status check function,Status check Flat,Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
codofil.org,codofil.org,codofil.org,https://www.crt.state.la.us/cultural-development/codofil/,la.us,text/html,TRUE,TRUE,FALSE,FALSE,,,,200,,200,200,co.sherman.or.us,,,,County,,Oregon,"Sherman County, OR -- Note added 6/20/14 7:10. Domain used to be sherman-county.com, updated to co.sherman.or.us 4/6/2021.",https://www.co.sherman.or.us,4/6/21 0:00
columbusga.com,columbusga.com,columbusga.com,,,,,,,,,,,,,Connection failure,Connection failure,co.sherman.tx.us,,,,County,,Texas,"Sherman County, TX -- Note added 7/7/15 6:39",http://co.sherman.tx.us/,6/6/13 18:08
coloradoriverrecovery.org,coloradoriverrecovery.org,coloradoriverrecovery.org,https://coloradoriverrecovery.org/,coloradoriverrecovery.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,co.sibley.mn.us,,,,County,,Minnesota,"Sibley County, MN -- Note added 4/21/15 0:59",http://www.co.sibley.mn.us/,6/6/13 18:08
cob.us,cob.us,cob.us,https://www.brownsvilletx.gov/,brownsvilletx.gov,text/html,TRUE,TRUE,FALSE,FALSE,,,,200,,200,200,co.silverbow.mt.us,,,,Local,,Montana,"City and County of Butte-Silver Bow, MT -- Note added 11/22/13 12:58",http://co.silverbow.mt.us/,6/6/13 18:08
co.fort-bend.tx.us,co.fort-bend.tx.us,tx.us,,,,,,,,,,,,,Connection failure,Connection failure,co.snohomish.wa.us,,,,County,,Washington,"Snohomish County, WA -- Note added 12/6/13 16:19",http://www1.co.snohomish.wa.us/,6/6/13 18:08
cooperhewitt.org,cooperhewitt.org,cooperhewitt.org,https://www.cooperhewitt.org/,cooperhewitt.org,text/html,TRUE,TRUE,TRUE,FALSE,Smithsonian Institution,,,200,,200,200,co.somerset.nj.us,,,,County,,New Jersey,"somerset, nj -- Note added 9/15/15 19:34",http://co.somerset.nj.us/,6/6/13 18:08
corrales-nm.org,corrales-nm.org,corrales-nm.org,https://www.corrales-nm.org/,corrales-nm.org,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,Connection failure,Connection failure,co.somervell.tx.us,,,,County,,Texas,"Somervell County, TX -- Note added 7/7/15 6:40",http://co.somervell.tx.us/,6/6/13 18:08
covcounty.com,covcounty.com,covcounty.com,,,,,,,,,,,,,Connection failure,Connection failure,co.st-johns.fl.us,,,,County,,Florida,St. Johns County Government -- Note added 6/17/15 11:57,http://co.st-johns.fl.us/,6/6/13 18:08
coralgables.com,coralgables.com,coralgables.com,https://www.coralgables.com/,coralgables.com,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,Connection failure,Connection failure,co.st-lawrence.ny.us,,,,County,,New York,"St. Lawrence County, NY -- Note added 6/29/15 14:22",http://www.co.st-lawrence.ny.us/,6/6/13 18:08
craigheadcounty.org,craigheadcounty.org,craigheadcounty.org,https://craigheadcountyar.gov/,craigheadcountyar.gov,text/html,TRUE,TRUE,FALSE,FALSE,,,,200,,Connection failure,Connection failure,co.stafford.va.us,,,,County,,Virginia,"Stafford County, VA -- Note added 1/22/14 17:12",http://co.stafford.va.us/,6/6/13 18:08
commercialtwp.com,commercialtwp.com,commercialtwp.com,https://commercialtwp.com/,commercialtwp.com,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.stanly.nc.us,,,,County,,North Carolina,"stanly, nc -- Note added 9/11/15 19:46",http://www.stanlycountync.gov/,6/6/13 18:08
ctclusi.org,ctclusi.org,ctclusi.org,https://ctclusi.org/,ctclusi.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.starr.tx.us,,,,County,,Texas,"Starr County, TX -- Note added 7/7/15 6:41",http://co.starr.tx.us/,6/6/13 18:08
co.wise.tx.us,co.wise.tx.us,tx.us,https://co.wise.tx.us/,tx.us,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,co.stearns.mn.us,,,,County,,Minnesota,"Stearns County, MN -- Note added 4/21/15 1:00",http://www.co.stearns.mn.us/,6/6/13 18:08
coetownship.com,coetownship.com,coetownship.com,,,,,,,,,,,,,200,200,co.steele.mn.us,,,,County,,Minnesota,"Steele County, MN -- Note added 4/21/15 1:01",http://www.co.steele.mn.us/,6/6/13 18:08
collingswood.com/local-government,collingswood.com/local-government,collingswood.com,,,,,,,,,,,,,Connection failure,Connection failure,co.steele.nd.us,,,,County,,North Dakota,"Steele County, ND -- Note added 7/18/14 5:41",http://www.co.steele.nd.us/,6/6/13 18:08
co.st-lawrence.ny.us,co.st-lawrence.ny.us,ny.us,,,,,,,,,,,,,Connection failure,Connection failure,co.stephens.tx.us,,,,County,,Texas,"Stephens County, TX -- Note added 7/7/15 6:42",http://co.stephens.tx.us/,6/6/13 18:08
conversetx.net,conversetx.net,conversetx.net,https://conversetx.net/,conversetx.net,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.sterling.tx.us,,,,County,,Texas,"Sterling County, TX -- Note added 7/7/15 6:43",http://co.sterling.tx.us/,6/6/13 18:08
cravencounty.com,cravencounty.com,cravencounty.com,,,,,,,,,,,,,Connection failure,Connection failure,co.stevens.mn.us,,,,County,,Minnesota,"Stevens County, MN -- Note added 4/21/15 1:02",http://www.co.stevens.mn.us/,6/6/13 18:08
cromwellct.com,cromwellct.com,cromwellct.com,,,,,,,,,,,,,Connection failure,Connection failure,co.stevens.wa.us,,,,County,,Washington,"Stevens County, WA -- Note added 11/24/14 6:53",http://www.co.stevens.wa.us/,6/6/13 18:08
crystallake.org,crystallake.org,crystallake.org,https://www.crystallake.org/,crystallake.org,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,200,200,co.stokes.nc.us,,,,County,,North Carolina,"stokes county, nc -- Note added 9/11/15 19:46",http://www.co.stokes.nc.us/,6/6/13 18:08
cubacity.org,cubacity.org,cubacity.org,https://cubacity.org/,cubacity.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.stutsman.nd.us,,,,County,,North Dakota,"Stutsman County, ND -- Note added 3/21/14 18:23",http://www.co.stutsman.nd.us/,6/6/13 18:08
daggettcounty.org,daggettcounty.org,daggettcounty.org,https://daggettcounty.org/,daggettcounty.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.suffolk.ny.us,,,,County,,New York,"Suffolk County, NY -- Note added 6/29/15 14:24",http://www.suffolkcountyny.gov/,6/6/13 18:08
discovernorthwood.com,discovernorthwood.com,discovernorthwood.com,https://discovernorthwood.com/,discovernorthwood.com,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.sullivan.ny.us,,,,County,,New York,"Sullivan County, NY -- Note added 6/29/15 14:25",http://co.sullivan.ny.us/,6/6/13 18:08
driggs.govoffice.com,driggs.govoffice.com,govoffice.com,https://driggs.govoffice.com/,govoffice.com,text/html,FALSE,FALSE,TRUE,TRUE,,,,404,,200,200,co.summit.co.us,,,,County,,Colorado,"Summit County, CO -- Note added 1/22/14 17:12",http://co.summit.co.us/,6/6/13 18:08
co.cooke.tx.us,co.cooke.tx.us,tx.us,,,,,,,,,,,,,Connection failure,Connection failure,co.summit.ut.us,,,,County,,Utah,"Summit County, UT -- Note added 8/19/14 5:18",http://co.summit.ut.us/,6/6/13 18:08
co.cottle.tx.us,co.cottle.tx.us,tx.us,,,,,,,,,,,,,200,200,co.surry.nc.us,,,,County,,North Carolina,"surry, nc -- Note added 9/11/15 19:47",http://co.surry.nc.us/,6/6/13 18:08
kechiks.com,kechiks.com,kechiks.com,https://kechiks.com/,kechiks.com,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.sweetgrass.mt.us,,,,County,,Montana,"Sweet Grass County, MT -- Note added 11/22/13 12:59",http://sweetgrasscountygov.com/,6/6/13 18:08
keewatin.govoffice.com,keewatin.govoffice.com,govoffice.com,https://keewatinmn.org/,keewatinmn.org,text/html,TRUE,TRUE,FALSE,FALSE,,,,200,,200,200,co.taylor.wi.us,,,,County,,Wisconsin,"Taylor County, WI -- Note added 4/3/14 19:45",http://www.co.taylor.wi.us/,6/6/13 18:08
kamascity.net,kamascity.net,kamascity.net,https://www.kamascity.net/,kamascity.net,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,Connection failure,Connection failure,co.terrell.tx.us,,,,County,,Texas,"Terrell County, TX -- Note added 7/10/15 5:58",http://co.terrell.tx.us/,6/6/13 18:08
kentuckygsa.com,kentuckygsa.com,kentuckygsa.com,,,,,,,,,,,,,Connection failure,Connection failure,co.thurston.wa.us,,,,County,,Washington,"Thurston County, WA -- Note added 11/24/14 6:51",http://www.co.thurston.wa.us/home/index.asp,6/6/13 18:08
killingly.org,killingly.org,killingly.org,https://www.killingly.org/,killingly.org,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,200,200,co.tillamook.or.us,,,,County,,Oregon,"Tillamook County, OR (The land of cheese, trees and ocean breeze) -- Note added 7/23/14 15:48",http://www.co.tillamook.or.us/,6/6/13 18:08
kitsapgov.com,kitsapgov.com,kitsapgov.com,https://www.kitsapgov.com/,kitsapgov.com,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,Connection failure,Connection failure,co.titus.tx.us,,,,County,,Texas,"Titus County, TX -- Note added 7/10/15 5:59",http://co.titus.tx.us/,6/6/13 18:08
ks-brown.manatron.com,ks-brown.manatron.com,manatron.com,,,,,,,,,,,,,200,200,co.todd.mn.us,,,,County,,Minnesota,"Todd County, MN -- Note added 4/21/15 1:04",http://www.co.todd.mn.us/,6/6/13 18:08
ktcfc.org,ktcfc.org,ktcfc.org,,,,,,,,Combined Federal Campaign,,,,,Connection failure,Connection failure,co.tom-green.tx.us,,,,County,,Texas,"Tom Green County, TX -- Note added 7/10/15 6:00",http://co.tom-green.tx.us/,6/6/13 18:08
marshallco.org,marshallco.org,marshallco.org,https://www.marshallco.org/index2.html,marshallco.org,text/html,TRUE,FALSE,TRUE,FALSE,,,,200,,Connection failure,Connection failure,co.tooele.ut.us,,,,County,,Utah,"Tooele County, UT -- Note added 8/19/14 5:17",http://co.tooele.ut.us/,6/6/13 18:08
countynewscenter.com,countynewscenter.com,countynewscenter.com,https://www.countynewscenter.com/,countynewscenter.com,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,Connection failure,Connection failure,co.traill.nd.us,,,,County,,North Dakota,"Traill County, ND -- Note added 7/18/14 5:43",http://www.co.traill.nd.us/,6/6/13 18:08
damascustwp.org,damascustwp.org,damascustwp.org,https://damascustwp.org/,damascustwp.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,co.traverse.mn.us,,,,County,,Minnesota,"Traverse County, MN -- Note added 4/21/15 1:05",http://www.co.traverse.mn.us/,6/6/13 18:08
cumberlandcounty.org,cumberlandcounty.org,cumberlandcounty.org,https://cumberlandcounty.org/,cumberlandcounty.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.travis.tx.us,,,,County,,Texas,"Travis County, TX -- Note added 11/22/13 15:05",http://www.co.travis.tx.us/,6/6/13 18:08
dawsoncone.com,dawsoncone.com,dawsoncone.com,https://dawsoncone.com/cgi-sys/defaultwebpage.cgi,dawsoncone.com,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.trinity.tx.us,,,,County,,Texas,"Trinity County, TX -- Note added 7/10/15 6:01",http://co.trinity.tx.us/,6/6/13 18:08
daphneal.com,daphneal.com,daphneal.com,https://daphneal.com/,daphneal.com,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.trumbull.oh.us,,,,County,,Ohio,"Trumbull County, OH -- Note added 3/13/14 15:32",http://www.co.trumbull.oh.us/,6/6/13 18:08
cwgdn.com,cwgdn.com,cwgdn.com,https://cwgdn.com/,cwgdn.com,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,404,404,co.tuscarawas.oh.us,,,,County,,Ohio,"Tuscarawas County, OH -- Note added 3/13/14 15:34",http://co.tuscarawas.oh.us/,6/6/13 18:08
deertrailcolorado.org,deertrailcolorado.org,deertrailcolorado.org,,,,,,,,,,,,,Connection failure,Connection failure,co.tyler.tx.us,,,,County,,Texas,"Tyler County, TX -- Note added 7/10/15 6:02",http://co.tyler.tx.us/,6/6/13 18:08
decaturga.com,decaturga.com,decaturga.com,https://www.decaturga.com/,decaturga.com,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,200,200,co.uintah.ut.us,,,,County,,Utah,"Uintah County, UT -- Note added 8/19/14 5:16",http://co.uintah.ut.us/,6/6/13 18:08
dekalbda.org,dekalbda.org,dekalbda.org,https://www.dekalbda.org/,dekalbda.org,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,Connection failure,Connection failure,co.ulster.ny.us,,,,County,,New York,"Ulster County, NY -- Note added 6/29/15 14:30",http://ulstercountyny.gov/,6/6/13 18:08
dbshores.org,dbshores.org,dbshores.org,https://dbshores.org/,dbshores.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,co.umatilla.or.us,,,,County,,Oregon,"Umatilla County, OR -- Note added 6/18/14 6:41",http://co.umatilla.or.us/,6/6/13 18:08
dfwmetroplexcfc.org,dfwmetroplexcfc.org,dfwmetroplexcfc.org,,,,,,,,Combined Federal Campaign,,,,,200,200,co.union.nc.us,,,,County,,North Carolina,"union county, nc -- Note added 9/11/15 19:47",http://www.co.union.nc.us/,6/6/13 18:08
derbyvt.org,derbyvt.org,derbyvt.org,https://derbyvt.org/,derbyvt.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.upton.tx.us,,,,County,,Texas,"Upton County, TX -- Note added 7/10/15 6:03",http://co.upton.tx.us/,6/6/13 18:08
desncc.com,desncc.com,desncc.com,https://desncc.com/,desncc.com,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.utah.ut.us,,,,County,,Utah,"Utah County, UT -- Note added 8/19/14 5:15",http://www.co.utah.ut.us/,6/6/13 18:08
deltacountymi.org,deltacountymi.org,deltacountymi.org,https://deltacountymi.gov/,deltacountymi.gov,text/html,TRUE,TRUE,FALSE,FALSE,,,,200,,200,200,co.venango.pa.us,,,,County,,Pennsylvania,"Venango County, PA -- Note added 9/9/14 19:24",http://co.venango.pa.us/,6/6/13 18:08
dmvnow.com,dmvnow.com,dmvnow.com,,,,,,,,,,,,,Connection failure,Connection failure,co.vilas.wi.us,,,,County,,Wisconsin,"Vilas County, WI -- Note added 8/4/14 6:07",http://co.vilas.wi.us/,6/6/13 18:08
co.la-salle.tx.us,co.la-salle.tx.us,tx.us,https://co.la-salle.tx.us/,tx.us,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.wabasha.mn.us,,,,County,,Minnesota,"Wabasha County, MN -- Note added 4/21/15 1:06",http://www.co.wabasha.mn.us/,6/6/13 18:08
digitalmaine.com,digitalmaine.com,digitalmaine.com,https://digitalmaine.com/,digitalmaine.com,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.wadena.mn.us,,,,County,,Minnesota,"Wadena County, MN -- Note added 4/21/15 1:07",http://www.co.wadena.mn.us/,6/6/13 18:08
co.castro.tx.us,co.castro.tx.us,tx.us,,,,,,,,,,,,,200,200,co.wahkiakum.wa.us,,,,County,,Washington,"Wahkiakum County, WA -- Note added 11/24/14 6:50",http://www.co.wahkiakum.wa.us/,6/6/13 18:08
doverohio.com,doverohio.com,doverohio.com,https://www.doverohio.com/,doverohio.com,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,Connection failure,Connection failure,co.walker.tx.us,,,,County,,Texas,"Walker County, TX -- Note added 7/10/15 6:04",http://www.co.walker.tx.us/,6/6/13 18:08
dodstarbase.org,dodstarbase.org,dodstarbase.org,https://dodstarbase.org/,dodstarbase.org,text/html,TRUE,FALSE,TRUE,TRUE,Department of Defense (DOD),,,200,,200,200,co.walla-walla.wa.us,,,,County,,Washington,"Walla Walla County, WA -- Note added 4/8/14 18:20",http://www.co.walla-walla.wa.us/index.shtml,6/6/13 18:08
co.cheshire.nh.us,co.cheshire.nh.us,nh.us,https://co.cheshire.nh.us/,nh.us,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.waller.tx.us,,,,County,,Texas,"Waller County, TX -- Note added 7/10/15 6:05",http://co.waller.tx.us/,6/6/13 18:08
co.dodge.wi.us,co.dodge.wi.us,wi.us,,,,,,,,,,,,,200,200,co.wallowa.or.us,,,,County,,Oregon,"Wallowa County, OR -- Note added 6/18/14 6:42",http://co.wallowa.or.us/,6/6/13 18:08
co.ector.tx.us,co.ector.tx.us,tx.us,,,,,,,,,,,,,Connection failure,Connection failure,co.walsh.nd.us,,,,County,,North Dakota,"Walsh County, ND -- Note added 8/27/13 13:02",http://www.co.walsh.nd.us/,6/6/13 18:09
co.fisher.tx.us,co.fisher.tx.us,tx.us,,,,,,,,,,,,,200,200,co.walton.fl.us,,,,County,,Florida,"Walton County, FL -- Note added 6/17/15 11:57",http://co.walton.fl.us/,6/6/13 18:08
co.clay.tx.us,co.clay.tx.us,tx.us,https://www.co.clay.tx.us/,tx.us,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,200,200,co.walworth.wi.us,,,,County,,Wisconsin,"Walworth County, WI -- Note added 4/3/14 19:27",http://www.co.walworth.wi.us/,6/6/13 18:08
co.dekalb.ga.us,co.dekalb.ga.us,ga.us,https://www.dekalbcountyga.gov/,dekalbcountyga.gov,text/html,TRUE,TRUE,FALSE,FALSE,,,,200,,Connection failure,Connection failure,co.ward.tx.us,,,,County,,Texas,"Ward County, TX -- Note added 7/10/15 6:06",http://co.ward.tx.us/,6/6/13 18:08
co.garfield.wa.us,co.garfield.wa.us,wa.us,https://www.co.garfield.wa.us/,wa.us,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,Connection failure,Connection failure,co.warren.nj.us,,,,County,,New Jersey,"warren county, nj -- Note added 9/15/15 19:35",http://co.warren.nj.us/,6/6/13 18:08
co.hansford.tx.us,co.hansford.tx.us,tx.us,,,,,,,,,,,,,200,200,co.warren.oh.us,,,,County,,Ohio,"Warren County, OH -- Note added 3/13/14 15:37",http://www.co.warren.oh.us/,6/6/13 18:08
co.henrico.va.us,co.henrico.va.us,va.us,,,,,,,,,,,,,Connection failure,Connection failure,co.wasatch.ut.us,,,,County,,Utah,"Wasatch County, UT -- Note added 8/19/14 5:15",http://www.co.wasatch.ut.us/,6/6/13 18:08
co.imperial.ca.us,co.imperial.ca.us,ca.us,,,,,,,,,,,,,200,200,co.wasco.or.us,,,,County,,Oregon,"Wasco County, OR -- Note added 6/18/14 6:42",http://co.wasco.or.us/,6/6/13 18:08
co.jasper.tx.us,co.jasper.tx.us,tx.us,,,,,,,,,,,,,200,200,co.waseca.mn.us,,,,County,,Minnesota,"Waseca County, MN -- Note added 4/21/15 1:08",http://www.co.waseca.mn.us/,6/6/13 18:08
co.green-lake.wi.us,co.green-lake.wi.us,wi.us,https://www.greenlakecountywi.gov/,greenlakecountywi.gov,text/html,TRUE,TRUE,FALSE,FALSE,,,,200,,200,200,co.washburn.wi.us,,,,County,,Wisconsin,"Washburn County, WI -- Note added 4/2/14 12:39",http://www.co.washburn.wi.us/,6/6/13 18:08
dorsetvt.org,dorsetvt.org,dorsetvt.org,https://dorsetvt.org/index.html,dorsetvt.org,text/html,TRUE,TRUE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.washington.ar.us,,,,County,,Arkansas,"Washington County, AR -- Note added 7/17/13 18:40",http://www.co.washington.ar.us/,6/6/13 18:08
co.laramie.wy.us,co.laramie.wy.us,wy.us,,,,,,,,,,,,,200,200,co.washington.mn.us,,,,County,,Minnesota,"Washington County, MN -- Note added 4/21/15 1:09",http://www.co.washington.mn.us/,6/6/13 18:08
co.goodhue.mn.us,co.goodhue.mn.us,mn.us,https://co.goodhue.mn.us/,mn.us,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,co.washington.ny.us,,,,County,,New York,"Washington County, NY -- Note added 6/29/15 14:32",http://www.co.washington.ny.us/,6/6/13 18:08
co.lipscomb.tx.us,co.lipscomb.tx.us,tx.us,,,,,,,,,,,,,200,200,co.washington.or.us,,,,County,,Oregon,"Washington County, OR -- Note added 12/6/13 12:19",http://www.co.washington.or.us/,6/6/13 18:08
co.ottertail.mn.us,co.ottertail.mn.us,mn.us,https://ottertailcountymn.us/,ottertailcountymn.us,text/html,TRUE,TRUE,FALSE,FALSE,,,,200,,200,200,co.washington.pa.us,,,,County,,Pennsylvania,"Washington County, PA -- Note added 9/9/14 19:29",http://co.washington.pa.us/,6/6/13 18:08
co.pope.mn.us,co.pope.mn.us,mn.us,,,,,,,,,,,,,Connection failure,Connection failure,co.washington.tx.us,,,,County,,Texas,"Washington County, TX -- Note added 7/10/15 6:07",http://co.washington.tx.us/,6/6/13 18:08
co.ramsey.mn.us,co.ramsey.mn.us,mn.us,,,,,,,,,,,,,Connection failure,Connection failure,co.washington.wi.us,,,,County,,Wisconsin,"Washington County, WI -- Note added 4/3/14 19:46",http://www.co.washington.wi.us/,6/6/13 18:08
co.red-river.tx.us,co.red-river.tx.us,tx.us,,,,,,,,,,,,,200,200,co.watonwan.mn.us,,,,County,,Minnesota,"Watonwan County, MN -- Note added 4/21/15 1:10",http://www.co.watonwan.mn.us/,6/6/13 18:08
co.roberts.tx.us,co.roberts.tx.us,tx.us,,,,,,,,,,,,,200,200,co.waupaca.wi.us,,,,County,,Wisconsin,"Waupaca County, WI -- Note added 12/6/13 12:20",http://www.co.waupaca.wi.us/,6/6/13 18:08
co.rock.mn.us,co.rock.mn.us,mn.us,,,,,,,,,,,,,Connection failure,Connection failure,co.waushara.wi.us,,,,County,,Wisconsin,"Waushara County, WI -- Note added 4/3/14 19:29",http://www.co.waushara.wi.us/,6/6/13 18:08
co.san-juan.wa.us,co.san-juan.wa.us,wa.us,,,,,,,,,,,,,Connection failure,Connection failure,co.wayne.ny.us,,,,County,,New York,"Wayne County, NY -- Note added 6/29/15 14:33",http://co.wayne.ny.us/,6/6/13 18:08
co.shelby.oh.us,co.shelby.oh.us,oh.us,https://co.shelby.oh.us/,oh.us,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.weber.ut.us,,,,County,,Utah,"Weber County, UT -- Note added 8/19/14 5:11",http://www.co.weber.ut.us/,6/6/13 18:08
kansashighwaypatrol.org,kansashighwaypatrol.org,kansashighwaypatrol.org,https://kansashighwaypatrol.org/,kansashighwaypatrol.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,co.westmoreland.pa.us,,,,County,,Pennsylvania,"Westmoreland County, PA -- Note added 9/9/14 19:33",http://co.westmoreland.pa.us/,6/6/13 18:08
kennebunkport.org,kennebunkport.org,kennebunkport.org,https://kennebunkport.org/,kennebunkport.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.wharton.tx.us,,,,County,,Texas,"Wharton County, TX -- Note added 7/10/15 6:08",http://co.wharton.tx.us/,6/6/13 18:08
kingstonnh.org,kingstonnh.org,kingstonnh.org,,,,,,,,,,,,,200,200,co.whatcom.wa.us,,,,County,,Washington,"Whatcom County, WA -- Note added 11/24/14 6:51",http://co.whatcom.wa.us/,6/6/13 18:08
kinnelonboro.org,kinnelonboro.org,kinnelonboro.org,https://www.kinnelonboro.org/,kinnelonboro.org,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,Connection failure,Connection failure,co.wichita.tx.us,,,,County,,Texas,"Wichita County, TX -- Note added 7/10/15 6:09",http://www.co.wichita.tx.us/,6/6/13 18:08
lawrencevilleweb.com,lawrencevilleweb.com,lawrencevilleweb.com,,,,,,,,,,,,,Connection failure,Connection failure,co.wilbarger.tx.us,,,,County,,Texas,"Wilbarger County, TX -- Note added 7/10/15 6:10",http://co.wilbarger.tx.us/,6/6/13 18:08
labenfa.com,labenfa.com,labenfa.com,https://www.labenfa.com/,labenfa.com,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,200,200,co.wilkin.mn.us,,,,County,,Minnesota,"Wilkin County, MN -- Note added 3/21/14 18:42",http://www.co.wilkin.mn.us/,6/6/13 18:08
lakelandgov.net,lakelandgov.net,lakelandgov.net,https://lakelandgov.net/,lakelandgov.net,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.williams.oh.us,,,,County,,Ohio,"Williams County, OH -- Note added 3/13/14 15:39",http://co.williams.oh.us/,6/6/13 18:08
lagrandtownship.com,lagrandtownship.com,lagrandtownship.com,https://lagrandtownship.com/,lagrandtownship.com,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.winkler.tx.us,,,,County,,Texas,"Winkler County, TX -- Note added 7/10/15 6:11",http://co.winkler.tx.us/,6/6/13 18:08
langleywa.org,langleywa.org,langleywa.org,https://langleywa.org/,langleywa.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.winnebago.wi.us,,,,County,,Wisconsin,"Winnebago County, WI -- Note added 4/3/14 19:30",http://www.co.winnebago.wi.us/,6/6/13 18:08
nccrimecontrol.org,nccrimecontrol.org,nccrimecontrol.org,,,,,,,,,,,,,200,200,co.winona.mn.us,,,,County,,Minnesota,"Winona County, MN -- Note added 4/21/15 1:12",http://www.co.winona.mn.us/,6/6/13 18:08
ncfrpc.org,ncfrpc.org,ncfrpc.org,,,,,,,,,,,,,200,200,co.wise.tx.us,,,,County,,Texas,"Wise County, TX -- Note added 7/10/15 6:30",http://co.wise.tx.us/,6/6/13 18:08
co.taylor.wi.us,co.taylor.wi.us,wi.us,https://co.taylor.wi.us/,wi.us,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.wood.tx.us,,,,County,,Texas,"Wood County, TX -- Note added 7/10/15 6:35",http://www.mywoodcounty.com/,6/6/13 18:08
co.ulster.ny.us,co.ulster.ny.us,ny.us,,,,,,,,,,,,,404,404,co.wood.wi.us,,,,County,,Wisconsin,"Wood County, WI -- Note added 8/4/14 6:18",http://co.wood.wi.us/,6/6/13 18:08
co.pierce.wa.us,co.pierce.wa.us,wa.us,https://www.piercecountywa.gov/,piercecountywa.gov,text/html,TRUE,TRUE,FALSE,FALSE,,,,200,,200,200,co.worcester.md.us,,,,County,,Maryland,"Worcester County, MD -- Note added 5/27/14 2:03",http://www.co.worcester.md.us/,6/6/13 18:08
co.ward.tx.us,co.ward.tx.us,tx.us,,,,,,,,,,,,,200,200,co.wright.mn.us,,,,County,,Minnesota,"Wright County, MN -- Note added 4/21/15 1:12",http://www.co.wright.mn.us/,6/6/13 18:08
co.waushara.wi.us,co.waushara.wi.us,wi.us,,,,,,,,,,,,,Connection failure,Connection failure,co.yamhill.or.us,,,,County,,Oregon,"Yamhill County, OR (In the heart of Willamette Valley) -- Note added 7/23/14 15:49",http://www.co.yamhill.or.us/,6/6/13 18:08
co.walworth.wi.us,co.walworth.wi.us,wi.us,https://co.walworth.wi.us/,wi.us,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,co.yoakum.tx.us,,,,County,,Texas,"Yoakum County, TX -- Note added 7/10/15 6:34",http://co.yoakum.tx.us/,6/6/13 18:08
