Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added
millelacsband.com,,Native Sovereign Nation,Minnesota,accepted term,"Mille Lacs Band of Ojibwe (Onamia, MN) -- Note added 7/26/13 18:37",http://millelacsband.com/,6/6/13 18:08
mojaveindiantribe.com,,Native Sovereign Nation,California,accepted term,"Fort Mojave Indian Tribe (Needles, CA) -- Note added 8/2/13 14:35",#N/A,6/6/13 18:08
nativefederation.org,,Native Sovereign Nation,Alaska,accepted term,"Alaska Federation of Natives is a regional tribal council based in Anchorage, AK -- Note added 6/12/13 15:26",http://www.nativefederation.org/,6/12/13 15:26
nooksackindiantribe.org,,Native Sovereign Nation,Washington,accepted term,"Nooksack Indian Tribe (Deming, WA) -- Note added 8/2/13 15:53",http://www.nooksacktribe.org/,6/6/13 18:08
nsn.us,,Native Sovereign Nation,,accepted term,*.nsn.us pattern for native sovereign nation websites -- Note added 6/12/13 15:53,#N/A,6/12/13 15:52
nwifc.org,,Native Sovereign Nation,Washington,accepted term,Northwest Indian Fisheries Commission (NWIFC) is a support service organization for 20 treaty Indian tribes in western Washington. -- Note added 11/18/14 10:29,http://nwifc.org/,6/6/13 18:08
quapawtribe.com,,Native Sovereign Nation,Oklahoma,accepted term,"Quapaw Tribe, Quapaw, OK -- Note added 11/20/13 18:09",http://quapawtribe.com/,6/6/13 18:08
quileutenation.org,,Native Sovereign Nation,Washington,accepted term,"Quileute Tribe, La Push, Washington -- Note added 11/20/13 18:30",http://quileutenation.org/,6/6/13 18:08
quinaultindiannation.com,,Native Sovereign Nation,Washington,accepted term,"Quinault Indian Nation, Taholah, WA -- Note added 6/12/13 15:42",http://quinaultindiannation.com/,6/6/13 18:08
rumseyrancheria.org,#N/A,Native Sovereign Nation,,accepted term,Rumsey Band of Wintun Indians -- Note added 11/10/15 12:55,#N/A,6/6/13 18:08
saulttribe.com,,Native Sovereign Nation,Michigan,accepted term,"Sault Tribe of Chippewa Indians, Sault Ste. Marie, MI -- Note added 3/20/14 17:09",http://www.saulttribe.com/,6/6/13 18:08
sctca.net,,Native Sovereign Nation,California,accepted term,Southern California Tribal Chairmen's Association -- Note added 8/25/14 15:05,http://www.sctca.net/,6/6/13 18:08
shoshonebannocktribes.com,,Native Sovereign Nation,Idaho,accepted term,"Shoshone-Bannock Tribes, Fort Hall, ID -- Note added 8/25/14 14:37",http://www.shoshonebannocktribes.com/,6/6/13 18:08
sitkatribe.org,,Native Sovereign Nation,Alaska,accepted term,"Sitka Tribe, Sitka, AK -- Note added 8/25/14 14:53",#N/A,6/6/13 18:08
skokomish.org,,Native Sovereign Nation,Washington,accepted term,"Skokomish Indian Tribe, Skokomish, WA -- Note added 8/25/14 12:46",http://www.skokomish.org/,6/6/13 18:08
swotero.org,,Native Sovereign Nation,South Dakota,accepted term,"Sisseton-Wahpeton Tribal Employment Rights Office (Agency Village, SD) -- Note added 8/18/14 18:51",#N/A,6/6/13 18:08
tananachiefs.org,,Native Sovereign Nation,Alaska,accepted term,"Tanana Chiefs Conference is a regional tribal council based in Fairbanks, AK -- Note added 6/12/13 15:26",http://tananachiefs.org/,6/12/13 15:26
timbisha.com,,Native Sovereign Nation,California,accepted term,"Timbisha Shoshone Tribe, Bishop, CA -- Note added 3/24/14 12:53",http://timbisha.com/,6/6/13 18:08
tunicabiloxi.org,,Native Sovereign Nation,Louisiana,accepted term,"Tunica-Biloxi Tribe of Louisiana (Marksville, LA) -- Note added 8/26/13 17:59",#N/A,6/6/13 18:09
uctp.org,,Native Sovereign Nation,Puerto Rico,accepted term,"United Confederation of Taino People is a regional tribal council based in New York, NY -- Note added 6/12/13 15:28",#N/A,6/12/13 15:28
utemountainutetribe.com,,Native Sovereign Nation,Colorado,accepted term,"Ute Mountain, Ute Tribe, Towaoc, Colorado -- Note added 11/9/15 20:24",http://www.utemountainutetribe.com/,6/6/13 18:09
warmsprings.com,,Native Sovereign Nation,Oregon,accepted term,Confederated Tribes of Warm Springs tourism website. - 4/6/2021,http://www.warmsprings.com/,4/6/21
yochadehe.org,,Native Sovereign Nation,California,accepted term,"Yocha Dehe Wintun Nation, Brooks, CA -- Note added 11/10/15 12:57",#N/A,11/10/15 12:56
yuroktribe.org,,Native Sovereign Nation,California,accepted term,"Yurok Tribe (Klamath, Weitchpec, and Eureka, CA) -- Note added 7/23/14 13:31",#N/A,6/6/13 18:09
